                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.3454,                   3.55,                 4.2136,                0.00172,                    0.5,                0.00704,                0.00165,                 5.3401,                 3.8896,                 4.1536,             0.00026672,             0.00026672,             0.00026672
                      2,                 5.3316,                 3.2708,                 4.1024,                0.00169,                    0.5,                0.02722,                0.00605,                 5.3927,                 3.7848,                 4.1157,             0.00054829,             0.00054829,             0.00054829
                      3,                 5.2412,                 2.9885,                 3.8178,                0.50649,                    0.5,                0.01131,                0.00153,                 5.5121,                 5.9178,                 4.5235,               0.000828,               0.000828,               0.000828
                      4,                 5.0972,                 2.8407,                 3.4482,                0.54594,                    0.5,                0.24204,                0.08582,                 4.8429,                 8.5632,                 4.1331,              0.0011058,              0.0011058,              0.0011058
                      5,                 4.8508,                 2.6953,                 3.1297,                0.54653,                    0.5,                0.18874,                0.09175,                 4.5805,                 28.115,                 3.6745,              0.0013818,              0.0013818,              0.0013818
                      6,                 4.7091,                 2.6277,                  2.925,                0.53778,                    0.5,                0.16244,                0.07038,                 4.5129,                 37.481,                 3.0353,              0.0016395,              0.0016395,              0.0016395
                      7,                 4.5363,                 2.5051,                 2.7378,                0.54086,                    0.5,                0.06831,                 0.0447,                  3.972,                 104.32,                 2.7985,              0.0016395,              0.0016395,              0.0016395
                      8,                 4.4228,                 2.4041,                 2.6588,                0.56705,                0.14474,                0.10339,                0.06258,                 4.1033,                 14.473,                 2.5755,               0.001634,               0.001634,               0.001634
                      9,                  4.277,                 2.3058,                 2.5133,                 0.6171,                0.10526,                0.10452,                0.06804,                 3.9882,                 6.2091,                 2.5439,              0.0016285,              0.0016285,              0.0016285
                     10,                 4.2453,                 2.1802,                 2.4793,                0.00207,                0.21053,                0.00352,                0.00084,                 5.3388,                 3.7487,                 3.9456,               0.001623,               0.001623,               0.001623
                     11,                 4.0988,                 2.0438,                 2.3576,                0.63232,                0.11842,                0.03886,                0.01236,                 5.1264,                 4.0923,                 3.5067,              0.0016175,              0.0016175,              0.0016175
                     12,                 3.9902,                 1.9279,                 2.2917,                0.73828,                0.11842,                0.07661,                0.04271,                 5.2448,                  3.165,                 3.7367,               0.001612,               0.001612,               0.001612
                     13,                 3.9015,                 1.8116,                  2.238,                0.70039,                0.14972,                0.13606,                0.06294,                 4.3205,                 2.9448,                 2.7548,              0.0016065,              0.0016065,              0.0016065
                     14,                 3.8118,                 1.6925,                 2.2123,                0.73733,                0.27632,                0.17938,                0.08375,                  4.725,                 3.2744,                 3.4095,               0.001601,               0.001601,               0.001601
                     15,                 3.7178,                 1.6292,                 2.1732,                0.73236,                0.33131,                0.24715,                0.13845,                 3.9536,                 2.6818,                 2.4726,              0.0015955,              0.0015955,              0.0015955
                     16,                 3.6959,                 1.6155,                 2.1732,                0.82873,                0.22368,                0.25735,                0.13482,                 4.2832,                 2.2457,                 2.7409,                0.00159,                0.00159,                0.00159
                     17,                 3.6014,                 1.4822,                 2.1068,                0.88316,                0.46053,                0.40464,                0.28346,                 3.6522,                 1.8755,                 2.1685,              0.0015845,              0.0015845,              0.0015845
                     18,                 3.5288,                 1.4608,                 2.0697,                0.86753,                0.40164,                0.36209,                0.17922,                 3.7495,                 2.3041,                 2.1978,               0.001579,               0.001579,               0.001579
                     19,                 3.5192,                 1.4065,                 2.0527,                0.78958,                0.39474,                0.28926,                0.15456,                 4.5121,                 2.0804,                 3.1434,              0.0015735,              0.0015735,              0.0015735
                     20,                 3.5368,                 1.3915,                 2.0779,                  0.718,                0.30263,                0.19123,                0.06832,                 4.7529,                 2.9288,                 3.6149,               0.001568,               0.001568,               0.001568
                     21,                 3.4443,                 1.3786,                  1.992,                0.79964,                0.41329,                0.33763,                0.14961,                 4.2036,                 2.0671,                 2.5889,              0.0015625,              0.0015625,              0.0015625
                     22,                 3.4564,                  1.368,                 2.0259,                0.82969,                0.43304,                0.34361,                0.19526,                 4.1002,                 2.2472,                 2.5057,               0.001557,               0.001557,               0.001557
                     23,                   3.35,                 1.3271,                 1.9561,                0.83605,                0.44737,                 0.3372,                 0.2354,                 3.8214,                 2.1845,                 2.4071,              0.0015515,              0.0015515,              0.0015515
