               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.097175,              2.0292,            0.025197,             0.01272,             0.32895,             0.20818,             0.12122,            0.051128,             0.15668,            0.026093,              0.0856,              0.0016,              0.0016
                   1,             0.07448,            0.064893,            0.021788,           0.0018878,             0.46053,             0.20281,            0.071846,            0.063195,            0.035699,            0.024725,            0.070289,           0.0032891,           0.0032891
                   2,            0.059629,            0.044761,            0.016623,           0.0023784,              0.5625,             0.17571,            0.060276,             0.06173,            0.029302,            0.021634,            0.054967,            0.004967,            0.004967
                   3,            0.052471,            0.041246,             0.01117,            0.012386,                 0.5,             0.25727,            0.086651,            0.055255,            0.026542,            0.018381,            0.039634,           0.0066337,           0.0066337
                   4,            0.055129,            0.037008,           0.0090212,             0.62319,             0.44737,             0.33637,             0.14795,            0.042441,            0.022659,            0.012685,            0.024289,           0.0082891,           0.0082891
                   5,            0.050489,            0.035079,           0.0080298,             0.87303,             0.38665,              0.3902,             0.29644,            0.045791,            0.019992,           0.0084595,            0.009835,            0.009835,            0.009835
                   6,            0.047138,            0.033511,            0.007266,              0.8496,             0.34211,             0.34112,             0.19716,            0.047244,            0.016557,            0.011633,            0.009835,            0.009835,            0.009835
                   7,            0.043328,            0.032007,           0.0067281,              0.7456,              0.4192,             0.29971,             0.20335,             0.05327,            0.015064,           0.0099411,            0.009802,            0.009802,            0.009802
                   8,            0.040338,            0.029559,           0.0061744,             0.84913,             0.48718,             0.44419,             0.24493,            0.045885,            0.015695,            0.018757,            0.009769,            0.009769,            0.009769
                   9,            0.038953,            0.027893,           0.0054984,             0.89422,             0.43421,             0.44738,             0.34057,            0.042222,            0.012171,            0.014581,            0.009736,            0.009736,            0.009736
                  10,            0.035143,             0.02738,           0.0048727,              0.8534,             0.44411,             0.38782,             0.26803,             0.04476,            0.015833,            0.010894,            0.009703,            0.009703,            0.009703
                  11,            0.035083,             0.02555,           0.0044372,             0.92185,                 0.5,             0.46017,             0.36494,            0.030851,            0.013989,            0.010636,             0.00967,             0.00967,             0.00967
                  12,            0.035069,            0.025439,           0.0042478,             0.91325,                 0.5,             0.43339,              0.3455,            0.033168,            0.011629,            0.010716,            0.009637,            0.009637,            0.009637
                  13,            0.033107,            0.023928,           0.0046374,              0.9298,             0.48345,             0.43611,             0.35813,            0.041411,             0.01035,           0.0055729,            0.009604,            0.009604,            0.009604
