                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1006,                 3.5394,                  4.197,                0.00508,                 0.5625,                 0.0078,                0.00191,                 3.0042,                 3.8329,                 4.1605,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.0338,                 3.1648,                 3.9988,                0.00171,                    0.5,                0.01024,                0.00243,                 2.9768,                 3.7932,                 4.1152,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.6758,                 2.9336,                 3.5233,                0.00172,                    0.5,                0.03662,                0.00621,                 3.1465,                 3.7545,                 4.0929,               0.000828,               0.000828,               0.000828
                      4,                 2.4179,                  2.831,                 3.1381,                0.00228,                  0.625,                0.03176,                0.00354,                 3.5156,                 3.4601,                 4.0034,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.2954,                 2.7135,                 2.9121,                0.00197,                 0.5625,                0.06691,                0.01318,                 3.0387,                 3.5396,                 3.6681,              0.0013818,              0.0013818,              0.0013818
                      6,                 2.1163,                 2.5456,                 2.7088,                0.65789,                0.30263,                0.19963,                0.04803,                 2.6584,                  3.365,                 3.9387,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.9823,                 2.4081,                   2.56,                0.00394,                    0.5,                0.00651,                0.00209,                 2.5895,                 3.7522,                 4.3869,               0.001634,               0.001634,               0.001634
                      8,                  2.027,                 2.3201,                 2.5052,                0.00234,                    0.5,                0.00553,                 0.0019,                 2.4068,                 3.7364,                  3.862,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.9106,                 2.1715,                 2.3904,                0.71949,                0.14474,                0.09421,                 0.0278,                 2.6165,                 3.8207,                  4.314,               0.001623,               0.001623,               0.001623
                     10,                 1.8353,                 2.0488,                 2.3083,                0.86773,                 0.2562,                0.29336,                0.11668,                 2.1469,                 4.0332,                  3.233,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.7273,                  1.911,                 2.2158,                0.86782,                0.15789,                0.16293,                0.07241,                 2.0102,                 3.5599,                 2.7196,               0.001612,               0.001612,               0.001612
                     12,                 1.6475,                 1.7949,                  2.113,                0.79314,                0.29842,                0.27318,                0.14298,                  1.809,                 3.3458,                 2.8928,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.6243,                  1.805,                 2.0748,                0.84735,                0.15789,                0.14221,                0.06311,                 1.8262,                 3.2173,                 3.0969,               0.001601,               0.001601,               0.001601
                     14,                 1.5335,                 1.6148,                 2.0479,                0.78384,                   0.25,                0.21836,                0.09859,                 2.0556,                 2.9817,                 2.7432,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.5103,                 1.6161,                 1.9694,                 0.8782,                0.26316,                0.32248,                0.17665,                 1.7907,                 2.1208,                  2.615,                0.00159,                0.00159,                0.00159
                     16,                 1.4733,                 1.5158,                 1.9659,                0.78383,                0.28947,                0.26565,                 0.1414,                 1.8339,                 2.4899,                 2.6867,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.4742,                 1.5496,                 1.9647,                0.85398,                0.32895,                0.32047,                0.12921,                 1.8242,                  2.663,                 2.4816,               0.001579,               0.001579,               0.001579
                     18,                 1.4916,                 1.5032,                 1.9663,                0.80473,                0.42105,                0.36808,                0.26368,                   1.29,                 2.0143,                 2.1262,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.3958,                 1.4202,                 1.8742,                 0.8654,                0.40789,                0.37777,                0.27738,                 1.3571,                 1.9649,                 2.2756,               0.001568,               0.001568,               0.001568
                     20,                  1.376,                 1.3495,                 1.8785,                0.88013,                0.37562,                 0.3934,                0.23834,                 1.6983,                 2.3623,                 2.5697,              0.0015625,              0.0015625,              0.0015625
                     21,                  1.317,                 1.2858,                 1.8481,                0.76708,                0.43421,                0.30627,                0.21937,                 1.2551,                 1.7558,                 2.2725,               0.001557,               0.001557,               0.001557
                     22,                 1.3185,                 1.3226,                 1.8305,                0.80691,                0.39474,                0.31992,                0.18707,                 1.4362,                 1.8705,                 2.3217,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.3176,                 1.2779,                 1.8263,                0.87083,                    0.5,                0.42315,                0.31583,                 1.2514,                 1.5066,                 2.1572,               0.001546,               0.001546,               0.001546
                     24,                 1.2406,                 1.2324,                 1.7486,                0.90843,                0.43421,                0.44745,                0.26615,                 1.5501,                 1.7887,                 2.3669,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.2499,                 1.2428,                 1.7805,                0.79388,                0.47368,                0.39294,                0.21908,                 1.3655,                 2.0277,                  2.316,               0.001535,               0.001535,               0.001535
                     26,                 1.2251,                 1.2051,                 1.7585,                0.76459,                0.42105,                0.32779,                0.20894,                 1.2728,                   1.74,                 2.2109,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.2029,                 1.1525,                 1.7365,                0.89959,                0.41894,                0.39546,                0.26372,                 1.3304,                  1.598,                 2.1485,               0.001524,               0.001524,               0.001524
                     28,                 1.1608,                 1.1346,                 1.6878,                0.89672,                0.45496,                0.45427,                0.33161,                  1.211,                  1.634,                 1.9775,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.1581,                 1.1419,                 1.6705,                0.87659,                0.44737,                0.42316,                0.29188,                 1.2701,                 1.6248,                 2.0716,               0.001513,               0.001513,               0.001513
                     30,                 1.1469,                 1.1123,                 1.7017,                0.86063,                0.40858,                0.39446,                0.18514,                 1.5279,                 1.8617,                 2.1894,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.1669,                 1.1173,                 1.6847,                0.79134,                0.44737,                0.40277,                 0.2916,                 1.3821,                 1.9652,                 2.2222,               0.001502,               0.001502,               0.001502
                     32,                 1.1341,                 1.1009,                 1.6602,                0.82267,                0.43421,                0.37987,                0.23538,                  1.515,                 1.6501,                 2.2668,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.0951,                 1.0478,                  1.636,                0.88463,                    0.5,                0.42037,                0.32723,                 1.1082,                 1.4891,                 1.8272,               0.001491,               0.001491,               0.001491
                     34,                 1.0654,                 1.0149,                 1.6178,                0.88602,                0.44564,                0.39513,                0.24094,                 1.4474,                  1.416,                 2.2201,              0.0014855,              0.0014855,              0.0014855
                     35,                 1.0504,                 1.0053,                 1.6053,                0.88357,                0.39474,                 0.3741,                0.26629,                  1.258,                  1.789,                 1.9729,                0.00148,                0.00148,                0.00148
                     36,                 1.0694,                0.98616,                 1.6194,                0.87617,                0.47973,                0.41453,                0.31005,                 1.1577,                 1.3795,                 1.8234,              0.0014745,              0.0014745,              0.0014745
                     37,                 1.0409,                0.95613,                 1.5988,                0.90821,                0.46822,                0.43525,                 0.3001,                 1.2668,                 1.4728,                 1.9828,               0.001469,               0.001469,               0.001469
                     38,                 1.0455,                0.99988,                 1.6068,                0.89021,                0.40789,                0.41404,                0.27507,                 1.4807,                 1.4853,                 2.3729,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0457,                 0.9898,                 1.5835,                0.76381,                0.45564,                0.33406,                0.20913,                 1.4239,                 1.7898,                 2.3744,               0.001458,               0.001458,               0.001458
                     40,                0.99819,                0.96287,                 1.5659,                0.84951,                0.39731,                0.36079,                0.24521,                  1.363,                 1.7027,                 2.0898,              0.0014525,              0.0014525,              0.0014525
