                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1127,                 3.5223,                 4.1773,                0.00176,                    0.5,                0.01363,                 0.0031,                 3.0209,                 3.8227,                 4.1512,             0.00026672,             0.00026672,             0.00026672
                      2,                 2.9881,                  3.066,                 3.9051,                0.00174,                    0.5,                0.43468,                0.09308,                 2.9986,                 3.5037,                 3.8331,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.5176,                 2.7014,                 3.3789,                0.00169,                    0.5,                0.03174,                0.00937,                 2.5709,                 3.3202,                 3.4711,               0.000828,               0.000828,               0.000828
                      4,                 2.1387,                 2.3487,                 2.9504,                0.00676,                    0.5,                0.03061,                0.01234,                 2.2606,                 3.2261,                 4.0131,              0.0011058,              0.0011058,              0.0011058
                      5,                 1.9757,                 2.1016,                 2.6949,                0.56222,                0.15789,                0.04362,                0.01897,                 2.0664,                 3.3555,                 2.8578,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.8345,                 1.8973,                 2.4789,                0.79998,                    0.5,                0.39841,                0.25562,                  1.495,                  2.927,                 2.5842,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.6643,                 1.7265,                 2.3131,                0.54996,                0.48684,                0.12522,                0.06976,                 1.5229,                 2.7231,                 3.1651,               0.001634,               0.001634,               0.001634
                      8,                 1.6861,                 1.6956,                 2.2584,                0.67474,                0.35526,                 0.1558,                0.08944,                 1.7986,                 5.4016,                 2.9635,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6023,                 1.5546,                 2.1552,                 0.6216,                0.23684,                 0.0775,                0.03988,                  2.207,                 4.4146,                 2.8706,               0.001623,               0.001623,               0.001623
                     10,                 1.4988,                 1.4583,                  2.052,                0.54113,                0.15789,                0.02441,                0.00555,                 2.5912,                 4.1028,                 3.0615,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.4292,                 1.3576,                 1.9966,                 0.5239,                   0.25,                0.02421,                0.01295,                 1.8015,                 3.8332,                   2.57,               0.001612,               0.001612,               0.001612
                     12,                 1.3497,                 1.3052,                 1.9009,                0.59851,                0.22368,                0.09228,                0.04074,                 2.1189,                 4.0587,                 2.9521,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.3801,                 1.2986,                 1.8949,                0.54493,                0.22368,                0.04853,                0.02289,                 2.1592,                 4.0169,                 2.6493,               0.001601,               0.001601,               0.001601
                     14,                 1.2267,                  1.146,                 1.8112,                0.89523,                 0.4964,                0.41579,                0.28569,                 1.2321,                 2.6227,                 1.9875,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.2265,                  1.144,                 1.7485,                0.90781,                    0.5,                0.42515,                0.25863,                 1.4653,                 2.5031,                 2.2768,                0.00159,                0.00159,                0.00159
                     16,                 1.2101,                 1.0673,                 1.7605,                0.82758,                0.46053,                0.37785,                0.24304,                 1.4606,                 1.9814,                  2.088,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.1965,                 1.0771,                 1.7577,                0.71899,                0.35893,                0.30121,                0.15715,                 1.8111,                 2.2354,                  2.367,               0.001579,               0.001579,               0.001579
                     18,                 1.1903,                 1.0819,                 1.7279,                0.75716,                0.47368,                0.33691,                0.22321,                 1.6247,                 1.8882,                 2.0909,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.1316,                 0.9923,                 1.6619,                0.88755,                0.49883,                0.43222,                0.25395,                 1.6566,                 1.6367,                 2.5522,               0.001568,               0.001568,               0.001568
                     20,                 1.0928,                0.97686,                 1.6622,                0.87291,                0.46053,                0.41037,                0.28789,                 1.3583,                 1.4068,                 1.9995,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.0993,                0.93865,                 1.6579,                0.87998,                0.45828,                0.41015,                0.27344,                 1.1917,                 1.5975,                 1.8368,               0.001557,               0.001557,               0.001557
