                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.0738,                 3.4952,                 4.1753,                0.00175,                    0.5,                0.01264,                0.00301,                 3.0104,                 3.8148,                 4.1518,             0.00026672,             0.00026672,             0.00026672
                      2,                 2.9114,                 3.0917,                 3.8902,                0.00494,                  0.625,                0.13827,                0.02783,                 2.9254,                 3.5683,                 4.0268,             0.00054829,             0.00054829,             0.00054829
                      3,                  2.498,                 2.8012,                 3.4198,                0.59205,                0.40789,                0.30335,                0.04394,                 2.5054,                 6.5185,                 3.5727,               0.000828,               0.000828,               0.000828
                      4,                 2.1893,                 2.4822,                 2.9943,                0.50727,                    0.5,                0.06938,                0.01416,                 3.0901,                 3.2338,                 3.8895,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.0982,                 2.2641,                   2.76,                 0.0045,                0.44737,                0.01929,                0.00237,                 3.6159,                 2.8602,                 4.4405,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.9225,                  2.076,                 2.5797,                0.58636,                0.31579,                0.12171,                0.05548,                 2.3709,                 12.618,                 3.7214,              0.0016395,              0.0016395,              0.0016395
                      7,                   1.72,                  1.853,                 2.3759,                0.83678,                0.27159,                0.27567,                0.14269,                 2.0012,                 2.8688,                 3.7774,               0.001634,               0.001634,               0.001634
                      8,                 1.7395,                 1.7603,                 2.3131,                0.53621,                0.14474,                0.03015,                0.01565,                 2.0151,                 4.6858,                 3.2628,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6056,                 1.5814,                 2.1789,                0.63279,                0.05263,                  0.048,                0.01946,                 1.8825,                 4.9184,                 3.1319,               0.001623,               0.001623,               0.001623
                     10,                 1.5574,                 1.5023,                 2.1227,                0.53946,                0.15789,                0.02684,                0.00873,                 2.5278,                 12.394,                 3.5312,              0.0016175,              0.0016175,              0.0016175
                     11,                  1.475,                 1.4125,                 2.0403,                0.61934,                0.30263,                0.09884,                0.06779,                 1.5529,                 6.3279,                 2.4936,               0.001612,               0.001612,               0.001612
                     12,                 1.3907,                 1.3413,                 1.9462,                0.73086,                0.30263,                0.19095,                0.10194,                  1.931,                 3.5284,                 2.8037,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.3934,                 1.3317,                 1.9493,                0.71145,                0.30263,                0.21506,                 0.1217,                   1.58,                  2.241,                 2.5059,               0.001601,               0.001601,               0.001601
