                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1021,                 3.5144,                 4.2051,                0.00172,                    0.5,                 0.0077,                0.00184,                 3.0068,                 3.8252,                 4.1575,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.0884,                 3.1411,                 4.0351,                0.00174,                    0.5,                0.00969,                 0.0019,                 2.9356,                 3.9068,                 4.1223,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.8791,                 2.9656,                 3.6768,                0.00174,                    0.5,                0.08072,                0.00906,                  3.293,                 3.6584,                 3.9329,               0.000828,               0.000828,               0.000828
                      4,                 2.6292,                 2.8362,                 3.3562,                0.00594,                  0.625,                0.04759,                0.01566,                 2.4841,                 3.3186,                    3.8,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.3478,                  2.676,                 3.0577,                0.00499,                  0.625,                0.01489,                0.00188,                  3.513,                 3.6615,                 4.2414,              0.0013818,              0.0013818,              0.0013818
                      6,                 2.1308,                  2.458,                  2.843,                0.53817,                0.34581,                0.06329,                0.02222,                 2.1838,                 3.3587,                 3.0137,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.9695,                 2.2229,                 2.6583,                0.58643,                0.32448,                0.06348,                0.02258,                 2.8163,                 3.7285,                  3.337,               0.001634,               0.001634,               0.001634
                      8,                 1.9214,                  2.069,                 2.5216,                0.56001,                0.11842,                0.05041,                 0.0228,                 2.0689,                  3.309,                 3.1606,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.7678,                 1.9062,                 2.3654,                0.95085,                0.03947,                 0.0801,                0.02794,                 2.2444,                 2.9654,                 3.1064,               0.001623,               0.001623,               0.001623
                     10,                  1.679,                 1.7556,                 2.2469,                0.54375,                0.15789,                0.02869,                0.01477,                 2.0342,                 6.6743,                 2.8847,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.5623,                  1.619,                 2.1323,                0.64485,                0.13158,                0.08357,                 0.0484,                 1.8897,                 3.2693,                 2.7638,               0.001612,               0.001612,               0.001612
                     12,                 1.4521,                 1.5332,                 2.0127,                0.74144,                0.39474,                0.33992,                0.21171,                 1.6559,                 2.8664,                 2.4815,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.4735,                 1.4941,                 1.9876,                0.86162,                0.41267,                0.40914,                0.25856,                 1.6199,                 2.5737,                 2.5235,               0.001601,               0.001601,               0.001601
                     14,                 1.3547,                 1.3603,                 1.9238,                 0.8938,                0.46053,                0.41494,                 0.2679,                 1.5797,                 2.5238,                 2.4127,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.3263,                 1.3428,                 1.8489,                0.89839,                    0.5,                0.42188,                0.29634,                 1.4228,                 2.3517,                 2.0089,                0.00159,                0.00159,                0.00159
                     16,                 1.3181,                 1.2727,                 1.8561,                0.92369,                0.36533,                0.42435,                0.29252,                  1.361,                 2.0034,                 2.2348,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.3401,                 1.2965,                 1.8704,                0.89211,                    0.5,                0.42566,                0.24338,                 1.6731,                 1.6293,                 2.3438,               0.001579,               0.001579,               0.001579
                     18,                 1.3042,                 1.2757,                 1.8264,                0.87103,                 0.3407,                0.36606,                0.23691,                 1.6456,                 2.0823,                 2.2311,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.2184,                 1.1567,                 1.7445,                0.85049,                0.46272,                0.39938,                0.28492,                 1.4594,                 1.5968,                 1.9944,               0.001568,               0.001568,               0.001568
                     20,                 1.2037,                 1.1512,                  1.755,                0.86994,                0.48656,                0.44429,                0.32388,                 1.5661,                 1.6428,                 2.3528,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.1319,                 1.0695,                 1.6916,                0.86395,                0.47368,                0.42836,                0.29491,                 1.7945,                 1.8552,                 2.6375,               0.001557,               0.001557,               0.001557
                     22,                 1.1477,                 1.1045,                 1.6894,                0.88732,                    0.5,                0.38929,                 0.2888,                 1.3023,                  1.635,                 2.0061,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.1648,                  1.076,                 1.7069,                0.88116,                0.47368,                0.38347,                0.27952,                  1.327,                 1.7145,                 1.9249,               0.001546,               0.001546,               0.001546
                     24,                 1.0635,                 1.0254,                 1.6234,                0.87192,                0.43421,                 0.3937,                0.29016,                 1.2841,                 1.6589,                 1.9157,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0599,                  1.046,                 1.6482,                 0.8468,                0.38728,                0.38255,                0.22747,                 1.5106,                 1.9267,                 2.2293,               0.001535,               0.001535,               0.001535
                     26,                 1.0611,                0.99169,                 1.6312,                  0.803,                    0.5,                0.37637,                0.21775,                 1.6757,                 1.9052,                 2.4647,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0452,                0.98909,                 1.6108,                0.88705,                    0.5,                0.43146,                0.34578,                  1.154,                 1.2866,                 1.7485,               0.001524,               0.001524,               0.001524
                     28,                 1.0097,                0.97924,                  1.574,                0.89527,                0.49667,                0.44088,                0.34351,                 1.1591,                 1.3934,                 1.8707,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.0109,                0.99987,                 1.5678,                0.89395,                    0.5,                0.47108,                0.37478,                 1.0954,                 1.1694,                 1.7791,               0.001513,               0.001513,               0.001513
                     30,                0.98969,                0.94837,                 1.5565,                 0.8826,                    0.5,                0.46305,                0.35017,                 1.3631,                 1.4577,                  1.902,              0.0015075,              0.0015075,              0.0015075
                     31,                0.99489,                0.95581,                 1.5516,                0.88478,                    0.5,                0.44244,                0.34565,                 1.1483,                 1.1969,                 1.8304,               0.001502,               0.001502,               0.001502
                     32,                0.97211,                0.95657,                 1.5378,                0.86307,                0.46053,                0.40716,                 0.2735,                  1.306,                 1.5128,                 2.0028,              0.0014965,              0.0014965,              0.0014965
                     33,                0.98819,                0.93722,                 1.5423,                0.76432,                0.39849,                0.33588,                0.20631,                 1.5314,                 1.8859,                 2.2183,               0.001491,               0.001491,               0.001491
                     34,                0.95023,                0.88858,                 1.5325,                0.88168,                0.47368,                0.40325,                0.30058,                 1.2073,                 1.3133,                 1.8698,              0.0014855,              0.0014855,              0.0014855
                     35,                0.90881,                0.86027,                 1.4955,                0.85771,                0.49625,                0.42381,                0.32764,                 1.0895,                 1.2437,                 1.7257,                0.00148,                0.00148,                0.00148
                     36,                0.92984,                0.85546,                 1.5076,                0.89263,                    0.5,                0.42697,                0.30741,                 1.3413,                 1.2633,                 2.0684,              0.0014745,              0.0014745,              0.0014745
                     37,                0.92152,                0.84639,                 1.5163,                0.89934,                0.46987,                 0.4349,                0.34752,                 1.0896,                 1.1513,                 1.8897,               0.001469,               0.001469,               0.001469
                     38,                0.93653,                0.87722,                 1.5195,                 0.8702,                0.43421,                0.42241,                0.34161,                  1.105,                 1.3477,                 1.7932,              0.0014635,              0.0014635,              0.0014635
                     39,                0.91177,                0.86929,                 1.4864,                0.88707,                0.48684,                0.43363,                0.35342,                 1.0495,                 1.4463,                 1.7586,               0.001458,               0.001458,               0.001458
                     40,                0.84899,                0.83217,                 1.4684,                0.88672,                    0.5,                0.42304,                0.34108,                 1.1801,                 1.2173,                 1.9066,              0.0014525,              0.0014525,              0.0014525
                     41,                0.90197,                0.80692,                 1.4788,                0.85432,                0.43421,                0.42041,                0.33188,                 1.0832,                 1.2537,                  1.778,               0.001447,               0.001447,               0.001447
                     42,                0.84806,                0.82477,                 1.4508,                0.90807,                    0.5,                0.43691,                0.32964,                 1.1065,                 1.3196,                 1.8278,              0.0014415,              0.0014415,              0.0014415
                     43,                0.91408,                0.87022,                 1.4967,                0.83118,                0.46053,                0.40399,                0.24975,                 1.7193,                 1.4621,                  2.694,               0.001436,               0.001436,               0.001436
                     44,                0.88858,                0.89301,                 1.4628,                0.87175,                    0.5,                0.42614,                0.34201,                 1.0786,                  1.269,                 1.6407,              0.0014305,              0.0014305,              0.0014305
                     45,                0.86904,                0.78779,                 1.4467,                0.88598,                    0.5,                0.47226,                0.35927,                 1.0315,                 1.0203,                 1.6522,               0.001425,               0.001425,               0.001425
                     46,                0.83451,                0.78619,                 1.4343,                0.88513,                    0.5,                0.44929,                0.29786,                 1.3904,                 1.3198,                 1.9126,              0.0014195,              0.0014195,              0.0014195
                     47,                0.87374,                0.85418,                 1.4567,                0.88668,                    0.5,                0.40298,                0.28041,                 1.2357,                 1.3228,                 1.9217,              0.0014139,              0.0014139,              0.0014139
                     48,                0.82181,                0.77111,                 1.4347,                0.88472,                    0.5,                0.44134,                0.33918,                 1.1906,                 1.1181,                 1.7114,              0.0014084,              0.0014084,              0.0014084
                     49,                0.86709,                0.80065,                 1.4622,                0.80011,                    0.5,                0.39655,                0.28381,                  1.158,                  1.386,                 1.7036,              0.0014029,              0.0014029,              0.0014029
                     50,                0.81629,                 0.7706,                 1.4074,                0.89675,                0.46053,                 0.4193,                0.26207,                 1.2018,                 1.3714,                 1.8971,              0.0013974,              0.0013974,              0.0013974
                     51,                0.83276,                 0.8114,                 1.4117,                0.48341,                 0.5625,                0.52297,                0.37022,                 1.0389,                0.93126,                 1.6184,              0.0013919,              0.0013919,              0.0013919
                     52,                0.80708,                0.77665,                 1.3995,                 0.8732,                0.48684,                0.42659,                0.34133,                 1.0379,                 1.1101,                 1.6094,              0.0013864,              0.0013864,              0.0013864
                     53,                0.79214,                0.75755,                 1.4072,                0.89758,                    0.5,                0.43333,                0.25886,                 1.6726,                 1.7044,                 2.6243,              0.0013809,              0.0013809,              0.0013809
                     54,                0.76316,                0.72864,                 1.3951,                 0.8871,                    0.5,                0.43089,                0.33371,                 1.1286,                 1.0829,                 1.7069,              0.0013754,              0.0013754,              0.0013754
                     55,                0.78197,                0.74547,                 1.4301,                0.86201,                0.48332,                0.52189,                0.35913,                 1.0138,                 1.1058,                 1.6395,              0.0013699,              0.0013699,              0.0013699
                     56,                0.80596,                0.74198,                  1.417,                0.90158,                    0.5,                0.47249,                0.38397,                0.94376,                0.95975,                  1.551,              0.0013644,              0.0013644,              0.0013644
                     57,                0.83119,                0.74229,                 1.4328,                 0.8968,                0.45538,                0.44208,                0.30556,                 1.4033,                  1.331,                 1.9439,              0.0013589,              0.0013589,              0.0013589
                     58,                0.79555,                0.74342,                 1.4208,                0.89309,                    0.5,                0.45664,                0.32827,                 1.2205,                 1.2005,                 1.7127,              0.0013534,              0.0013534,              0.0013534
                     59,                0.82645,                0.72422,                 1.4157,                0.87851,                    0.5,                0.45492,                0.35818,                 1.0623,                 1.3666,                 1.6281,              0.0013479,              0.0013479,              0.0013479
                     60,                0.77252,                0.75299,                 1.3776,                0.89174,                0.48684,                0.41402,                0.28857,                 1.1334,                 1.1733,                 1.6785,              0.0013424,              0.0013424,              0.0013424
                     61,                0.81721,                0.74567,                 1.3941,                0.71588,                 0.5625,                0.51983,                0.39617,                0.82959,                  1.052,                 1.4109,              0.0013369,              0.0013369,              0.0013369
