                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1041,                 3.4806,                 4.1812,                0.00177,                    0.5,                0.00806,                0.00196,                 3.0023,                 3.8282,                 4.1597,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.0476,                 3.1726,                 4.0105,                0.00172,                    0.5,                0.01902,                0.00441,                 2.9811,                 3.7621,                 4.1025,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.7314,                 2.9586,                 3.5411,                0.50188,                0.14474,                0.00508,                0.00072,                  3.815,                 4.9575,                 4.4242,               0.000828,               0.000828,               0.000828
                      4,                 2.4867,                 2.7599,                 3.1713,                0.51325,                    0.5,                0.31181,                0.08388,                 2.1452,                 3.4816,                 3.2598,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.2651,                 2.5657,                 2.8873,                0.62565,                0.06579,                0.18728,                0.09114,                 1.6537,                 3.7464,                  2.725,              0.0013818,              0.0013818,              0.0013818
                      6,                 2.0134,                 2.3424,                 2.6795,                0.68301,                0.43421,                0.21476,                0.10507,                 1.9219,                 2.9194,                 3.5083,              0.0016395,              0.0016395,              0.0016395
                      7,                  1.894,                 2.1507,                 2.5146,                0.85534,                0.29092,                0.28195,                0.14319,                 2.2776,                 3.9186,                  3.709,               0.001634,               0.001634,               0.001634
                      8,                 1.8798,                 2.0902,                 2.4458,                0.57008,                0.09211,                0.04693,                0.02743,                  2.095,                 7.6465,                 3.7134,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.7323,                 1.9827,                 2.3093,                0.63704,                0.28947,                0.12502,                0.09277,                 1.6519,                 4.4803,                  2.944,               0.001623,               0.001623,               0.001623
                     10,                 1.7039,                 1.8511,                 2.2199,                0.91296,                0.31579,                0.34447,                 0.1547,                 2.0516,                 3.2239,                 2.7847,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.6174,                 1.7853,                 2.1707,                0.61468,                0.23684,                0.15156,                0.09194,                 1.9172,                 2.4522,                 3.0355,               0.001612,               0.001612,               0.001612
                     12,                 1.5421,                 1.6613,                 2.0887,                0.76865,                0.42105,                0.30679,                0.17523,                 1.6341,                  3.258,                 2.4471,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.5392,                 1.6495,                 2.0711,                0.87029,                0.45082,                0.42696,                0.24303,                 1.4742,                 2.7013,                 2.1965,               0.001601,               0.001601,               0.001601
                     14,                 1.3902,                 1.4804,                 1.9807,                 0.8864,                0.40789,                0.40995,                0.30715,                 1.2152,                 2.6582,                  1.982,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.3656,                 1.4432,                 1.8792,                0.89138,                0.47413,                0.41824,                0.32298,                 1.2906,                 1.4468,                 2.3023,                0.00159,                0.00159,                0.00159
