                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.7834,                 3.7459,                 4.1855,                0.00138,                    0.5,                0.06612,                0.05835,                 4.5203,                 4.0229,                 4.1497,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.5146,                 3.3009,                 3.9744,                 0.0014,                    0.5,                0.09844,                0.07584,                 4.1445,                 3.8088,                 4.0355,             0.00054829,             0.00054829,             0.00054829
                      3,                  3.024,                 2.9351,                 3.7107,                0.00144,                    0.5,                0.37725,                0.16179,                 2.0984,                 3.8628,                 3.1502,               0.000828,               0.000828,               0.000828
                      4,                 2.7519,                 2.7656,                 3.3895,                 0.5228,                    0.5,                0.35144,                0.13221,                 2.1893,                 4.1148,                   2.84,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.4612,                  2.658,                 3.0651,                0.52582,                    0.5,                0.27464,                0.11251,                 2.0951,                 4.4203,                 2.7355,              0.0013818,              0.0013818,              0.0013818
                      6,                 2.2382,                 2.4293,                 2.8135,                0.76898,                 0.2452,                0.26734,                0.12976,                 2.3317,                 2.6682,                 2.7044,              0.0016395,              0.0016395,              0.0016395
                      7,                 2.0393,                 2.2704,                 2.5651,                0.60223,                0.32895,                0.20004,                0.10672,                  1.955,                 2.6908,                 2.2434,               0.001634,               0.001634,               0.001634
                      8,                 2.0054,                 2.1337,                 2.4808,                0.64756,                0.36912,                0.15359,                0.06767,                 1.9777,                 5.2579,                 2.1799,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.8728,                 1.9405,                 2.3491,                0.88348,                0.38158,                0.38933,                0.21155,                 2.0498,                 1.9301,                 2.2185,               0.001623,               0.001623,               0.001623
                     10,                  1.771,                 1.8178,                  2.227,                0.72036,                0.41477,                0.29492,                0.17411,                 2.0008,                 1.8878,                 1.9904,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.6893,                 1.7176,                 2.1545,                0.88738,                0.48684,                0.41205,                0.26424,                 1.8483,                 1.9653,                   1.69,               0.001612,               0.001612,               0.001612
                     12,                 1.6057,                 1.6009,                 2.1038,                0.86968,                0.48684,                0.42146,                0.30395,                 1.6079,                 1.7854,                  1.531,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.5658,                 1.5605,                 2.0656,                 0.8868,                    0.5,                0.43622,                0.31637,                 1.6041,                   1.97,                 1.5291,               0.001601,               0.001601,               0.001601
                     14,                 1.4874,                 1.4408,                 2.0341,                0.85423,                0.38158,                0.35283,                0.16235,                 2.2809,                 2.7785,                 1.8791,              0.0015955,              0.0015955,              0.0015955
                     15,                  1.467,                 1.4634,                 1.9436,                0.85978,                0.38158,                0.38543,                0.18525,                 2.1502,                 2.5512,                 1.9101,                0.00159,                0.00159,                0.00159
                     16,                 1.3955,                 1.3423,                 1.9241,                0.81857,                0.36969,                0.34537,                0.16302,                 2.0498,                 2.3143,                 1.8436,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.4053,                 1.3637,                 1.9194,                0.87749,                    0.5,                0.43942,                0.29498,                 1.6677,                 1.6495,                 1.5884,               0.001579,               0.001579,               0.001579
                     18,                 1.4393,                 1.3754,                 1.8863,                0.84517,                0.48684,                0.39109,                0.28042,                 1.6215,                 1.7812,                 1.5181,              0.0015735,              0.0015735,              0.0015735
                     19,                  1.353,                 1.3041,                 1.8367,                0.88749,                    0.5,                0.44591,                0.29278,                 1.7383,                  2.129,                 1.5335,               0.001568,               0.001568,               0.001568
                     20,                 1.2907,                 1.2263,                  1.784,                0.88702,                    0.5,                0.42653,                0.31615,                 1.4096,                 1.4361,                 1.3682,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.2939,                 1.1534,                 1.7996,                0.88591,                 0.4896,                0.41535,                0.27896,                 1.6504,                  1.594,                 1.6406,               0.001557,               0.001557,               0.001557
                     22,                  1.274,                 1.2158,                 1.7783,                0.89621,                    0.5,                0.43184,                0.31807,                 1.4757,                 1.5994,                 1.4582,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.2396,                 1.1467,                 1.7997,                0.90038,                    0.5,                0.42792,                0.30115,                 1.6323,                 1.6116,                 1.6345,               0.001546,               0.001546,               0.001546
                     24,                 1.1657,                 1.0953,                 1.6942,                0.86506,                    0.5,                0.40994,                0.27214,                 1.6396,                 1.5143,                 1.5662,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.1714,                 1.0874,                 1.6884,                0.82098,                0.48684,                0.35813,                0.19384,                 1.8342,                 1.9926,                 1.8062,               0.001535,               0.001535,               0.001535
                     26,                 1.1734,                 1.0863,                  1.704,                0.89891,                0.48684,                 0.4629,                0.34039,                 1.3169,                 1.2429,                 1.2164,              0.0015295,              0.0015295,              0.0015295
                     27,                  1.127,                  1.065,                 1.6725,                0.90374,                0.48684,                0.42765,                0.27948,                 1.5541,                 1.2774,                 1.5327,               0.001524,               0.001524,               0.001524
                     28,                 1.0765,                 1.0008,                 1.6119,                0.88451,                0.48684,                0.41762,                0.31862,                 1.3214,                 1.4771,                 1.2857,              0.0015185,              0.0015185,              0.0015185
                     29,                 1.1174,                 1.0561,                 1.6289,                0.87607,                    0.5,                0.43074,                0.32523,                 1.2531,                 1.3006,                 1.2162,               0.001513,               0.001513,               0.001513
                     30,                 1.1077,                 1.0149,                  1.625,                0.90846,                    0.5,                0.43295,                0.29357,                 1.4222,                 1.5108,                 1.3965,              0.0015075,              0.0015075,              0.0015075
                     31,                 1.1136,                 1.0024,                 1.6047,                0.87487,                    0.5,                0.42153,                0.31043,                 1.3467,                 1.4588,                 1.3496,               0.001502,               0.001502,               0.001502
                     32,                 1.0674,                0.99986,                 1.6212,                0.92629,                 0.3805,                 0.4475,                 0.3291,                 1.2972,                 1.4794,                 1.1985,              0.0014965,              0.0014965,              0.0014965
                     33,                 1.0646,                0.98859,                 1.5787,                0.88292,                    0.5,                0.44939,                0.33713,                 1.2405,                 1.3343,                 1.2267,               0.001491,               0.001491,               0.001491
                     34,                 0.9986,                0.91039,                 1.5654,                0.88384,                0.47835,                0.41666,                  0.308,                 1.2725,                 1.3445,                 1.2507,              0.0014855,              0.0014855,              0.0014855
                     35,                0.96442,                0.90253,                 1.5272,                 0.9065,                    0.5,                0.41661,                  0.293,                 1.2235,                 1.4276,                 1.2379,                0.00148,                0.00148,                0.00148
                     36,                 1.0054,                0.92047,                 1.5322,                0.87214,                    0.5,                0.39923,                0.31608,                 1.1361,                 1.1746,                 1.1405,              0.0014745,              0.0014745,              0.0014745
                     37,                0.98855,                0.88228,                 1.5578,                 0.8864,                    0.5,                0.42202,                0.31167,                 1.3426,                 1.2488,                 1.2676,               0.001469,               0.001469,               0.001469
                     38,                 1.0144,                  0.915,                 1.5485,                0.88664,                    0.5,                0.43009,                0.31709,                  1.311,                 1.3437,                 1.2165,              0.0014635,              0.0014635,              0.0014635
                     39,                 1.0207,                0.92483,                 1.5344,                0.88518,                    0.5,                  0.438,                0.33525,                 1.1051,                 1.3112,                 1.0818,               0.001458,               0.001458,               0.001458
                     40,                0.96469,                0.89445,                 1.5191,                0.89373,                0.48754,                0.43628,                0.33494,                 1.2114,                  1.313,                 1.2574,              0.0014525,              0.0014525,              0.0014525
                     41,                0.97614,                0.85487,                 1.5343,                0.88669,                    0.5,                0.42832,                0.33696,                 1.0668,                 1.3024,                 1.0743,               0.001447,               0.001447,               0.001447
                     42,                0.94059,                0.87288,                 1.5173,                0.87815,                    0.5,                0.42363,                  0.295,                 1.2355,                 1.2941,                 1.2537,              0.0014415,              0.0014415,              0.0014415
                     43,                0.99394,                0.88301,                 1.5218,                0.89441,                    0.5,                 0.4148,                0.32538,                0.98603,                0.99768,                 1.0994,               0.001436,               0.001436,               0.001436
                     44,                0.98592,                0.91841,                  1.504,                0.88707,                    0.5,                0.40948,                0.31495,                 1.0713,                 1.2616,                 1.1037,              0.0014305,              0.0014305,              0.0014305
                     45,                0.98319,                0.86095,                 1.5048,                0.88484,                    0.5,                 0.4198,                0.31368,                 1.1667,                 1.3059,                 1.2183,               0.001425,               0.001425,               0.001425
                     46,                0.94168,                0.85419,                  1.488,                0.87675,                0.48271,                0.44212,                0.31218,                 1.2402,                 1.5383,                 1.2672,              0.0014195,              0.0014195,              0.0014195
                     47,                0.92493,                0.86831,                 1.4608,                0.90016,                    0.5,                 0.4223,                0.30461,                 1.0374,                 1.2493,                 1.1053,              0.0014139,              0.0014139,              0.0014139
