                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1109,                 3.4974,                 4.1969,                0.00177,                    0.5,                0.01566,                0.00292,                 2.9983,                  3.835,                 4.1537,             0.00026672,             0.00026672,             0.00026672
                      2,                  3.069,                 3.1792,                 4.0434,                0.00174,                    0.5,                0.03776,                0.00546,                 2.9714,                 3.7857,                 4.1027,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.7601,                  2.954,                 3.6148,                0.00248,                  0.625,                0.16493,                0.01814,                 3.3098,                 3.9285,                 3.9883,               0.000828,               0.000828,               0.000828
                      4,                  2.367,                 2.8067,                  3.187,                0.00352,                  0.625,                0.05847,                 0.0098,                 3.1175,                 3.5062,                 3.7028,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.1588,                 2.5465,                 2.9011,                0.54874,                0.31579,                 0.0642,                0.02203,                 2.3829,                 4.7563,                 3.4432,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.9321,                 2.3301,                 2.6655,                0.70671,                0.31579,                0.18806,                0.09637,                 1.5479,                 4.4348,                 2.7381,              0.0016395,              0.0016395,              0.0016395
                      7,                  1.759,                 2.0883,                  2.459,                0.85575,                0.26316,                0.34253,                0.15908,                 1.7587,                 3.3246,                  3.109,               0.001634,               0.001634,               0.001634
                      8,                  1.757,                 1.9678,                 2.3521,                0.62602,                0.46556,                0.19522,                0.08954,                  1.716,                 5.4381,                 3.1547,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6514,                  1.831,                 2.2367,                0.53022,                0.09821,                0.02046,                 0.0111,                 1.8428,                 4.5953,                 3.0671,               0.001623,               0.001623,               0.001623
                     10,                 1.5815,                 1.6948,                 2.1519,                0.69979,                0.23684,                0.18418,                0.11468,                 1.6739,                  3.592,                 2.3053,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.5061,                 1.5995,                 2.0833,                0.58605,                0.22368,                0.07916,                0.04708,                 1.5778,                 3.4873,                   2.32,               0.001612,               0.001612,               0.001612
