                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1229,                 3.5315,                 4.1986,                0.00202,                 0.5625,                0.00874,                0.00202,                 2.9914,                 3.8361,                 4.1484,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.0683,                 3.0832,                 3.9817,                0.00414,                  0.625,                0.02287,                 0.0056,                   2.92,                 3.7976,                 4.0927,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.6734,                 2.8462,                 3.5714,                0.00492,                  0.625,                 0.3996,                0.12561,                 2.5494,                 3.2173,                  3.758,               0.000828,               0.000828,               0.000828
                      4,                 2.1901,                 2.6512,                 3.1332,                0.00657,                  0.625,                0.42037,                0.15408,                 1.8776,                 2.8587,                 2.9718,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.0095,                 2.4476,                 2.8139,                0.77343,                    0.5,                0.43093,                0.28602,                 1.3291,                  3.106,                  2.412,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.8718,                 2.2919,                  2.606,                0.73732,                0.27632,                0.26929,                0.10489,                 1.9541,                 4.1891,                 3.1993,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.7323,                 2.1071,                 2.4288,                0.73154,                0.46053,                0.29593,                0.21029,                 1.4146,                 3.0055,                 2.6684,               0.001634,               0.001634,               0.001634
                      8,                 1.7373,                 1.9694,                 2.3384,                0.88311,                0.30189,                0.33323,                0.21935,                 1.5917,                 2.4933,                 2.4306,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6255,                 1.8134,                 2.2214,                 0.8423,                0.48556,                0.37351,                0.24071,                 1.6022,                 2.0421,                 2.4154,               0.001623,               0.001623,               0.001623
                     10,                 1.5848,                 1.7561,                 2.1472,                 0.7817,                 0.4075,                0.31959,                0.14483,                 2.0696,                 2.1787,                 2.8907,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.4926,                 1.6233,                 2.0576,                 0.8354,                0.31579,                0.33337,                0.12014,                  2.128,                 2.2406,                 2.9557,               0.001612,               0.001612,               0.001612
                     12,                 1.4305,                  1.549,                 1.9925,                0.91638,                0.48684,                0.43615,                0.26023,                 1.6327,                 2.2333,                 2.3083,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.4537,                 1.4979,                 1.9954,                 0.8324,                0.44367,                0.38577,                0.25833,                 1.5592,                 1.8078,                 2.1479,               0.001601,               0.001601,               0.001601
                     14,                 1.3399,                 1.3693,                 1.9226,                0.86795,                0.47669,                0.38554,                 0.2507,                 1.4034,                 1.7687,                 2.1599,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.3183,                 1.3554,                 1.8317,                0.87748,                0.46053,                0.41463,                0.30781,                 1.4115,                 1.7717,                 2.2977,                0.00159,                0.00159,                0.00159
                     16,                 1.2627,                  1.281,                 1.7997,                0.87399,                    0.5,                0.42392,                0.22679,                 1.5645,                 1.6969,                 2.6119,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.2717,                 1.2916,                 1.8082,                0.85107,                0.48684,                0.37173,                0.23075,                 1.4916,                 1.8305,                 2.1085,               0.001579,               0.001579,               0.001579
                     18,                 1.2115,                 1.2501,                 1.7344,                0.87317,                0.48684,                0.39189,                0.29589,                 1.3096,                  1.527,                 1.9642,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.2026,                 1.1881,                 1.7315,                0.87706,                0.48684,                0.43636,                0.34462,                 1.2634,                 1.2925,                  2.004,               0.001568,               0.001568,               0.001568
                     20,                  1.112,                 1.1053,                 1.6825,                0.88734,                0.49766,                0.39639,                0.30987,                 1.2237,                 1.4052,                  1.839,              0.0015625,              0.0015625,              0.0015625
                     21,                  1.087,                 1.0395,                 1.6529,                0.79306,                    0.5,                0.32615,                0.21869,                 1.5092,                 1.4464,                 2.1521,               0.001557,               0.001557,               0.001557
                     22,                 1.1089,                 1.0899,                 1.6617,                0.85153,                0.46736,                0.38029,                0.26834,                 1.3255,                  1.409,                 1.8673,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.1052,                 1.0704,                 1.6647,                0.85078,                0.46403,                0.39109,                0.27685,                 1.3644,                 1.4526,                  1.979,               0.001546,               0.001546,               0.001546
                     24,                 1.0478,                  1.034,                 1.6014,                0.88709,                    0.5,                0.43529,                0.33936,                 1.1834,                  1.265,                 1.7499,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0355,                 1.0344,                 1.6346,                0.88283,                0.46053,                0.41855,                0.33755,                 1.1768,                 1.2819,                 1.7957,               0.001535,               0.001535,               0.001535
                     26,                 1.0307,                0.97593,                 1.5974,                0.87393,                0.44737,                0.40394,                0.31903,                 1.2148,                 1.4974,                 1.9183,              0.0015295,              0.0015295,              0.0015295
                     27,                 1.0309,                0.98959,                 1.5876,                0.88661,                0.46053,                0.41564,                0.30721,                 1.1308,                 1.2313,                 1.8063,               0.001524,               0.001524,               0.001524
                     28,                 0.9799,                0.96447,                 1.5637,                0.88667,                    0.5,                0.41987,                0.28574,                 1.2952,                 1.3034,                 1.9242,              0.0015185,              0.0015185,              0.0015185
                     29,                0.97804,                0.96906,                  1.543,                0.87681,                    0.5,                 0.4055,                0.32198,                 1.1265,                 1.2366,                 1.7942,               0.001513,               0.001513,               0.001513
                     30,                0.95196,                0.90087,                 1.5459,                0.88665,                    0.5,                0.43804,                0.36466,                 1.0386,                 1.1919,                 1.6494,              0.0015075,              0.0015075,              0.0015075
                     31,                0.99038,                0.93889,                 1.5642,                0.88639,                    0.5,                0.42256,                 0.3623,                  1.083,                 1.2846,                 1.7355,               0.001502,               0.001502,               0.001502
                     32,                0.95548,                0.91377,                 1.5385,                0.88728,                    0.5,                0.41097,                0.32727,                 1.1453,                 1.1552,                 1.8094,              0.0014965,              0.0014965,              0.0014965
                     33,                 0.9424,                0.89409,                 1.5231,                0.87868,                    0.5,                0.41764,                 0.3127,                 1.0965,                 1.1537,                 1.8232,               0.001491,               0.001491,               0.001491
                     34,                0.88646,                0.82992,                 1.4937,                0.85804,                0.46466,                0.41902,                0.32323,                 1.1009,                 1.2104,                 1.9762,              0.0014855,              0.0014855,              0.0014855
                     35,                0.85794,                0.79668,                 1.4645,                0.88738,                    0.5,                0.42672,                0.32444,                 1.1843,                 1.2154,                 1.9221,                0.00148,                0.00148,                0.00148
