                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1079,                 3.5041,                 4.1848,                0.00185,                    0.5,                0.00753,                0.00177,                 2.9963,                 3.8408,                 4.1533,             0.00026672,             0.00026672,             0.00026672
                      2,                 3.0555,                 3.1419,                 3.9927,                0.00171,                    0.5,                0.01316,                0.00331,                 2.9936,                 3.8098,                 4.1167,             0.00054829,             0.00054829,             0.00054829
                      3,                 2.7421,                 2.9418,                 3.6177,                0.00171,                    0.5,                0.10641,                0.01205,                 3.2508,                 3.7825,                 4.1243,               0.000828,               0.000828,               0.000828
                      4,                 2.3903,                 2.7662,                 3.1812,                0.00513,                  0.625,                0.05596,                 0.0111,                 2.7849,                 3.4198,                 4.0498,              0.0011058,              0.0011058,              0.0011058
                      5,                 2.1556,                 2.5692,                 2.8845,                0.00279,                  0.625,                0.03119,                0.00906,                 2.6098,                 3.5932,                 4.1967,              0.0013818,              0.0013818,              0.0013818
                      6,                 1.9441,                 2.2828,                 2.6605,                0.00332,                    0.5,                0.01142,                0.00436,                 2.3951,                 3.4537,                 4.3869,              0.0016395,              0.0016395,              0.0016395
                      7,                 1.7533,                 2.1206,                 2.4342,                 0.5065,                0.03947,                0.00596,                0.00162,                 2.1451,                 4.5871,                  4.229,               0.001634,               0.001634,               0.001634
                      8,                 1.7719,                 1.9738,                 2.3627,                0.71595,                0.06579,                0.09333,                0.04567,                 2.2694,                 3.2662,                 3.6442,              0.0016285,              0.0016285,              0.0016285
                      9,                 1.6498,                 1.8153,                 2.2227,                0.51759,                0.06579,                0.02199,                0.01328,                 1.8783,                  4.698,                  2.833,               0.001623,               0.001623,               0.001623
                     10,                 1.5851,                 1.7148,                 2.1605,                0.57495,                0.26684,                0.09741,                0.05271,                 1.8673,                 4.6647,                 2.6914,              0.0016175,              0.0016175,              0.0016175
                     11,                 1.4876,                 1.5826,                 2.0785,                0.57121,                0.14474,                 0.0507,                0.02688,                 1.9512,                 7.0863,                 2.7797,               0.001612,               0.001612,               0.001612
                     12,                 1.3928,                 1.5073,                 1.9727,                0.77634,                0.46053,                0.34584,                0.22764,                 1.7895,                 2.1098,                 2.7254,              0.0016065,              0.0016065,              0.0016065
                     13,                 1.4067,                 1.4838,                 1.9671,                0.71261,                0.22388,                 0.1563,                0.08915,                 1.8068,                 3.8388,                 2.3726,               0.001601,               0.001601,               0.001601
                     14,                 1.3338,                 1.3451,                 1.9172,                 0.8871,                0.45119,                0.40855,                0.28588,                 1.3766,                 1.9733,                 1.8869,              0.0015955,              0.0015955,              0.0015955
                     15,                 1.3008,                 1.3463,                 1.8164,                0.88523,                0.48581,                0.41866,                0.31167,                 1.3777,                 1.7189,                 2.1273,                0.00159,                0.00159,                0.00159
                     16,                 1.2899,                 1.2942,                 1.8458,                0.73964,                0.38761,                0.23665,                0.13784,                 1.6419,                 2.1448,                 2.2909,              0.0015845,              0.0015845,              0.0015845
                     17,                 1.2449,                 1.3012,                 1.8267,                0.88471,                0.48303,                0.41024,                0.28372,                 1.5707,                  1.467,                 2.4171,               0.001579,               0.001579,               0.001579
                     18,                 1.2772,                 1.2944,                 1.8055,                0.86938,                0.48684,                0.40308,                0.29273,                 1.1975,                 2.1925,                 1.8921,              0.0015735,              0.0015735,              0.0015735
                     19,                 1.2105,                 1.1822,                 1.7336,                0.89261,                    0.5,                 0.4134,                0.27789,                 1.4853,                 1.4622,                 1.9333,               0.001568,               0.001568,               0.001568
                     20,                 1.1806,                 1.1696,                  1.731,                0.86316,                0.48889,                0.38803,                 0.2695,                 1.4028,                 1.4083,                 2.3404,              0.0015625,              0.0015625,              0.0015625
                     21,                 1.1148,                 1.0768,                 1.6988,                0.87416,                0.48684,                0.41679,                0.29047,                  1.655,                 1.5438,                 2.9475,               0.001557,               0.001557,               0.001557
                     22,                 1.1201,                  1.088,                 1.6743,                 0.9004,                0.44737,                0.42525,                0.25277,                 1.7331,                 1.5447,                 2.6402,              0.0015515,              0.0015515,              0.0015515
                     23,                 1.1278,                 1.0636,                 1.6827,                0.80266,                0.42105,                0.36157,                0.23717,                 1.5623,                 1.9658,                 2.3598,               0.001546,               0.001546,               0.001546
                     24,                 1.0667,                 1.0192,                 1.6038,                0.89494,                0.49467,                0.40039,                0.29147,                 1.3896,                 1.4403,                 2.0736,              0.0015405,              0.0015405,              0.0015405
                     25,                 1.0386,                 1.0292,                 1.6186,                0.89892,                0.48684,                 0.4052,                0.25649,                  1.575,                 1.6275,                 2.2427,               0.001535,               0.001535,               0.001535
                     26,                 1.0137,                 0.9653,                 1.5878,                0.89275,                0.48684,                0.40514,                0.29616,                 1.1686,                 1.4259,                 1.7943,              0.0015295,              0.0015295,              0.0015295
                     27,                  1.001,                0.96966,                 1.5663,                0.88623,                    0.5,                0.41138,                 0.3244,                  1.144,                 1.2579,                 1.8438,               0.001524,               0.001524,               0.001524
                     28,                0.97103,                0.95771,                  1.546,                0.88688,                    0.5,                0.39856,                0.31267,                0.99269,                 1.2383,                 1.6277,              0.0015185,              0.0015185,              0.0015185
                     29,                0.94601,                0.93074,                 1.5126,                0.87882,                0.49365,                0.42605,                 0.3405,                 1.0575,                 1.1607,                 1.7623,               0.001513,               0.001513,               0.001513
